"layer","placemark","placemark_index","atlas_id","raw_url","normalized_url","local_file_exists","http_status","content_type","magic_bytes","browser_decode_status","recovery_status","final_local_path"
"akakus","قوس أفزجار","1","LY-AKAKUS-00001","https://lh3.googleusercontent.com/umsh/AN6v0v6l0Y3EPbTKqGzEkAT6R0TPlQCQ0mfIqeNgAlSwDnSATOyEsYPfMj1XLfR9VH1n4yw0cAHSU20vPEacLXMCo1bu4GWUFkauawBMwnzSVU2PMLu3es5y_fa-hsSU8T78N3f1etGyZQeLW1PWAXSE9hU4vMgxWhF11HZwLTwshzqxUp2zPKt5zIJgWASBM-WeR_W6Xp_ddGbwR-QSYuLMUtX123koPLYTsR_uDyA83VaT1-e7c6mFgB6iVNOwSMH_goENlhEC8eEaWrjx5TcdQjI2W-cdBaRf_GsDIM4XUD6r1u3CBdCvVwVIqOmPd9jwo1SaAXQvJcr_nT3ewlTbuyn5llzsT0qBLpooVgsPsxWsJzFwEfA9a3JKn-Nl_Yy58MTL28xATIeGPDPgtCueS0i26MNbBsHLOdUEhdDl0sAyKQCYgUjCdGwIxFLk_TS5Ox00vpvgeyu0wjppH_twVAGalxt2xk1_O6-AOaO9XZf4RmzmupGMqPZYbsPPgsSUMGV-ET9AiKUqC1TwaMdF9yxdk4t2tDDh_j4pR4x7g6WdnPropC6CdBrfojxWtkFdxaerr0oIgdTBEBilDhglSHjc9-UUIrC4hNB2hrrAPtwYy5NCUTfcBGqsTV-D-vnIBe54I72ICUHs2Q","https://lh3.googleusercontent.com/umsh/AN6v0v6l0Y3EPbTKqGzEkAT6R0TPlQCQ0mfIqeNgAlSwDnSATOyEsYPfMj1XLfR9VH1n4yw0cAHSU20vPEacLXMCo1bu4GWUFkauawBMwnzSVU2PMLu3es5y_fa-hsSU8T78N3f1etGyZQeLW1PWAXSE9hU4vMgxWhF11HZwLTwshzqxUp2zPKt5zIJgWASBM-WeR_W6Xp_ddGbwR-QSYuLMUtX123koPLYTsR_uDyA83VaT1-e7c6mFgB6iVNOwSMH_goENlhEC8eEaWrjx5TcdQjI2W-cdBaRf_GsDIM4XUD6r1u3CBdCvVwVIqOmPd9jwo1SaAXQvJcr_nT3ewlTbuyn5llzsT0qBLpooVgsPsxWsJzFwEfA9a3JKn-Nl_Yy58MTL28xATIeGPDPgtCueS0i26MNbBsHLOdUEhdDl0sAyKQCYgUjCdGwIxFLk_TS5Ox00vpvgeyu0wjppH_twVAGalxt2xk1_O6-AOaO9XZf4RmzmupGMqPZYbsPPgsSUMGV-ET9AiKUqC1TwaMdF9yxdk4t2tDDh_j4pR4x7g6WdnPropC6CdBrfojxWtkFdxaerr0oIgdTBEBilDhglSHjc9-UUIrC4hNB2hrrAPtwYy5NCUTfcBGqsTV-D-vnIBe54I72ICUHs2Q","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00001-01.png"
"akakus","قوس أفزجارن وقوس تنخليفة","2","LY-AKAKUS-00002","https://lh3.googleusercontent.com/umsh/AN6v0v4oX1pCNgRSdymBXlTiJUGmeGxr4VDnG7F_sERciqIvPc-im8RkCTFPUWv_JqJm6Jo7UqLnEPTmuk7E2qXGPTSxpSpBxaLv3gIikb9QobxpkJqKZkQQaCg2uIlfHHOlS1jHvL5REMx95Tmj047OZGBfYGBTMOOj-ismUrB7euDmI791ZQ29wdO44jWBpXMjjnaPiKPVChwJrLAcfomlylfVUJjg5KtiSdDqCvgM95UMTd3ZxVWrQaj3l-Rir2EjgHN8KaDTHL54jcI_umFjDvRzB9eRxusfULJf6fiCkJslu6WLILgXExS-ZBDYl0j-QYuYor-YpjfV8EEct64aNhKR79VRLlU2JoNlHozpG57CbaEQtRfYY6jzeXb2hLjVNXELRAM3KNmjuf030RERg9PYqnE8e0L5oAoNMevxOyf2JRvcRzoTyzws4vHYsvz4KkBW18aVBefq07MHFOYT_hwUJa6wqrslcAw1GCVcuy1hJFioYEHbiNEgYbJCfuz91y0jMGU9YLkQoZJonm2YE9p6jtlXbAXCmxDkc93ZoX8ZYtoq6S8v4XkprYp7dI3bqqO3XUSO8usZKcBtf6L_viVH5Cp8hxVwdmb4cR2Y52BSfLO2858myIKliTez9Q3XBZaF8hlfvHG-Eg","https://lh3.googleusercontent.com/umsh/AN6v0v4oX1pCNgRSdymBXlTiJUGmeGxr4VDnG7F_sERciqIvPc-im8RkCTFPUWv_JqJm6Jo7UqLnEPTmuk7E2qXGPTSxpSpBxaLv3gIikb9QobxpkJqKZkQQaCg2uIlfHHOlS1jHvL5REMx95Tmj047OZGBfYGBTMOOj-ismUrB7euDmI791ZQ29wdO44jWBpXMjjnaPiKPVChwJrLAcfomlylfVUJjg5KtiSdDqCvgM95UMTd3ZxVWrQaj3l-Rir2EjgHN8KaDTHL54jcI_umFjDvRzB9eRxusfULJf6fiCkJslu6WLILgXExS-ZBDYl0j-QYuYor-YpjfV8EEct64aNhKR79VRLlU2JoNlHozpG57CbaEQtRfYY6jzeXb2hLjVNXELRAM3KNmjuf030RERg9PYqnE8e0L5oAoNMevxOyf2JRvcRzoTyzws4vHYsvz4KkBW18aVBefq07MHFOYT_hwUJa6wqrslcAw1GCVcuy1hJFioYEHbiNEgYbJCfuz91y0jMGU9YLkQoZJonm2YE9p6jtlXbAXCmxDkc93ZoX8ZYtoq6S8v4XkprYp7dI3bqqO3XUSO8usZKcBtf6L_viVH5Cp8hxVwdmb4cR2Y52BSfLO2858myIKliTez9Q3XBZaF8hlfvHG-Eg","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00002-01.png"
"akakus","قوس صخري","3","LY-AKAKUS-00003","https://lh3.googleusercontent.com/umsh/AN6v0v6ORSZch1gQz_4YcEyN73iL1QAvGggcRps7MiUBwV4BbSL7IaVoqvN2yNsH8pNHgi92VF4qeROZXRwAU8gq96tuX1mBnkfn-qaOxaYN4xf9Lu-eCzcC0X4QYi_hSQevfTpTbZtXtip5pm7YM0BjTQedq-UqzGLqzUMrXbvEakl0wi2kP0-NakuHVzTLIG9knXiJUfI4xl_o1J9sorrdNM_0-ctoEJaXALQDfKGCvzcNmwn71JfWTVmvpVnZsSIR0nVrIieTCWd5MADUDo0rfN5df0fdZIIYeRvhmM0XkUmg3r-_viofiCEdN1WCri0AIYIJlXDaVZHfSzZ3Bq2Vr1r5Dh4fMipAPIvr0pFa57Egz65lxXa6uPivYrvNjoFX5X39nVX0hBNKoKUvcS7PzKot61kAWbtigVf9m80gQ2nXBo9HpOqtY0OYG-fwAf_ddmLSw9fxr_NAmbpMK5g-A4QR-kRIL_sSkvCaOUhpk1eaJH6nbpoKWk_D2PcHohSHeMhrMTgd3AB5bTjlilUxmYNCQGJf1vnhGZC4DDh5WE7f2MWH8CDc5HQAxqAOxNO3QpdViNTPaumj2RwJxUFjeZ_N2_wMNhcWUhzCQS-_2V-5N9x0SNtQyM6W-NepvacqL2EX9sv_TRU8mA","https://lh3.googleusercontent.com/umsh/AN6v0v6ORSZch1gQz_4YcEyN73iL1QAvGggcRps7MiUBwV4BbSL7IaVoqvN2yNsH8pNHgi92VF4qeROZXRwAU8gq96tuX1mBnkfn-qaOxaYN4xf9Lu-eCzcC0X4QYi_hSQevfTpTbZtXtip5pm7YM0BjTQedq-UqzGLqzUMrXbvEakl0wi2kP0-NakuHVzTLIG9knXiJUfI4xl_o1J9sorrdNM_0-ctoEJaXALQDfKGCvzcNmwn71JfWTVmvpVnZsSIR0nVrIieTCWd5MADUDo0rfN5df0fdZIIYeRvhmM0XkUmg3r-_viofiCEdN1WCri0AIYIJlXDaVZHfSzZ3Bq2Vr1r5Dh4fMipAPIvr0pFa57Egz65lxXa6uPivYrvNjoFX5X39nVX0hBNKoKUvcS7PzKot61kAWbtigVf9m80gQ2nXBo9HpOqtY0OYG-fwAf_ddmLSw9fxr_NAmbpMK5g-A4QR-kRIL_sSkvCaOUhpk1eaJH6nbpoKWk_D2PcHohSHeMhrMTgd3AB5bTjlilUxmYNCQGJf1vnhGZC4DDh5WE7f2MWH8CDc5HQAxqAOxNO3QpdViNTPaumj2RwJxUFjeZ_N2_wMNhcWUhzCQS-_2V-5N9x0SNtQyM6W-NepvacqL2EX9sv_TRU8mA","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00003-01.png"
"akakus","قوس صخري","4","LY-AKAKUS-00004","https://lh3.googleusercontent.com/umsh/AN6v0v4zb5-bK_t7y_4G6H8-OqFpJ9TcN6qtHBkV7R7e4y8GBzLNXEmcmjb_OYm6kr4zJnI95naFFfh-ko55epSBUMytILIspMyAll3q79SRAWPURG62jXKBgfVOgRxNa7inxMQSiCM5nJ0w5GY7Xgk8sVgBuvl0RU69t91gUii-nTfiRKpL9Eanx-41083YDhFMqg57y0csDE3l61HcQxtKSJZI61pCL82Oio17C7DNToHIkTuMSA5Dct5OiYVEdSMcviSAsAQ4AMThE1E16VAuIRNqePEAln2rcLKB-amwFkii18mB5mEOGH-hiqCkwdWitg-KArITB0MYCz2aA-UkMolAV1m-0JkHn_9IOVJgv7TaXB5-kmmBWOWxt-GpMkt_RyGgccu4G1cIVniWpwq91zQhuPEBixXhdM6q0Z4EDB0ZvabPdhazfJfDurFeQhneNB4wR8_GnRjXXEUhyYtP37BdWMmqpw-d9Ebx8aurlNTHIZWf5OscK0n3Ye-fii3wEg9z8Z5kbUKV9CWg40jUhJs84HOlIg0Hz8I7w-qCEqRzDmTgKoiNw9pllisPeMLtpk41QUHFH72vfxdpriZoaYZ3SbmyE0RVURGq4GJRD9azs-keoMHGx8refoDRoogkVQzuNpBaZaXHXw","https://lh3.googleusercontent.com/umsh/AN6v0v4zb5-bK_t7y_4G6H8-OqFpJ9TcN6qtHBkV7R7e4y8GBzLNXEmcmjb_OYm6kr4zJnI95naFFfh-ko55epSBUMytILIspMyAll3q79SRAWPURG62jXKBgfVOgRxNa7inxMQSiCM5nJ0w5GY7Xgk8sVgBuvl0RU69t91gUii-nTfiRKpL9Eanx-41083YDhFMqg57y0csDE3l61HcQxtKSJZI61pCL82Oio17C7DNToHIkTuMSA5Dct5OiYVEdSMcviSAsAQ4AMThE1E16VAuIRNqePEAln2rcLKB-amwFkii18mB5mEOGH-hiqCkwdWitg-KArITB0MYCz2aA-UkMolAV1m-0JkHn_9IOVJgv7TaXB5-kmmBWOWxt-GpMkt_RyGgccu4G1cIVniWpwq91zQhuPEBixXhdM6q0Z4EDB0ZvabPdhazfJfDurFeQhneNB4wR8_GnRjXXEUhyYtP37BdWMmqpw-d9Ebx8aurlNTHIZWf5OscK0n3Ye-fii3wEg9z8Z5kbUKV9CWg40jUhJs84HOlIg0Hz8I7w-qCEqRzDmTgKoiNw9pllisPeMLtpk41QUHFH72vfxdpriZoaYZ3SbmyE0RVURGq4GJRD9azs-keoMHGx8refoDRoogkVQzuNpBaZaXHXw","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00004-01.png"
"akakus","قوس صخري","5","LY-AKAKUS-00005","https://lh3.googleusercontent.com/umsh/AN6v0v6HeEE2wVb-srhkro1lkyL6CfgDHwaQlcRjiMIfq2zta8oxYbsbimC7mrPLSUO7BBg2JuarG3mNEUpHVUuzDxbIj0oHGVcdKHWCpqLao7UeDkGqBA95uM47-0MSXrvml4dXKpNMLIfb_gKeTr8cbo1PhzVRwy2z-33-oLqQ58xSz1G1Jp6Lz_NfR6Bu6oYPVhTiHfN11vIPFKFLWLvyGqYLa43SaDxLzJHFccdsuogWTeYw_PJvvBquxyRyHCZlOEExf9ZQVd5W9IHmJcljPmEg5amu78bG6RyDeRFUTvx4HGAzlzWDiya0XjtXeWi_fh3VV5aIsv2YaKj4k7lyvmxvR5qOzctSUf2WOFtnIzDFvgyJa0mZao0JoVhkHV9KpggcoMwyBKPeyMlWJTgy57vrtBqQPmA_WekkRzu2n6NRVMaw8J1o5hHYnTZ92giIyqmZ0CkmCL0cwtsjYpKwDHuLutAZage95c_3_IdYo_OHwPRSQ4MrThgLQp2QuJuAyXT6rnDRxyThnR40iTsodUrrbGOWYErlKWpP21-2U9Ly1YMBZ2XpXrLoa9-kKUiO_w6ycyxMd5U7ruqNNhjrLxcxNG5JrhGMqkr_iaRLepM-o67NOewCwH8uExl8nu1FR1-71jWzBo1V","https://lh3.googleusercontent.com/umsh/AN6v0v6HeEE2wVb-srhkro1lkyL6CfgDHwaQlcRjiMIfq2zta8oxYbsbimC7mrPLSUO7BBg2JuarG3mNEUpHVUuzDxbIj0oHGVcdKHWCpqLao7UeDkGqBA95uM47-0MSXrvml4dXKpNMLIfb_gKeTr8cbo1PhzVRwy2z-33-oLqQ58xSz1G1Jp6Lz_NfR6Bu6oYPVhTiHfN11vIPFKFLWLvyGqYLa43SaDxLzJHFccdsuogWTeYw_PJvvBquxyRyHCZlOEExf9ZQVd5W9IHmJcljPmEg5amu78bG6RyDeRFUTvx4HGAzlzWDiya0XjtXeWi_fh3VV5aIsv2YaKj4k7lyvmxvR5qOzctSUf2WOFtnIzDFvgyJa0mZao0JoVhkHV9KpggcoMwyBKPeyMlWJTgy57vrtBqQPmA_WekkRzu2n6NRVMaw8J1o5hHYnTZ92giIyqmZ0CkmCL0cwtsjYpKwDHuLutAZage95c_3_IdYo_OHwPRSQ4MrThgLQp2QuJuAyXT6rnDRxyThnR40iTsodUrrbGOWYErlKWpP21-2U9Ly1YMBZ2XpXrLoa9-kKUiO_w6ycyxMd5U7ruqNNhjrLxcxNG5JrhGMqkr_iaRLepM-o67NOewCwH8uExl8nu1FR1-71jWzBo1V","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00005-01.png"
"akakus","قوس صخري","6","LY-AKAKUS-00006","https://lh3.googleusercontent.com/umsh/AN6v0v6FhShpQDBk_QUWmlvjIzEY_waT41jgVkoTypSgtuzsJ1NiFOVHxoAwaFdKAW7BCvWrwgJYBstZj_eP3rP8vV99NwHvo56WQzBhP1_2Gq1iHYTG0oLEy6yvW6sEiCxjqwTX4xLvECWdlmYCEGfAlFu2PHwPdAtn4r6EURjZdmUrcsePFZzFX1j1B0NS62n40Pbnb1Leuv8pambVp-Q89iNVbCMhQAGCvqsBwBHjzzMEeR4y4oAfKi9UmFuvxx2mZeXsAekywcItM-i-qWs1I_SP1Bz-gRxyNWiiyqwiDuM8YwTN3meiyG75NsBNTJc9ksxpfJb9fIkzphXHdwoKEJ_ZjQL5pePyHtZKpfjRmWJTBTwwviGERSYN85sajYx70eaeqMCFOyOuOJ7VRUfa9O2L838iFCSQrmwDNnM-ZlcoTM31LtWEOCR3SVbTi3UvzORNw5nMRbslC0mntEBpXbNYJHK6culfhmSbZ6oyqMJpKouJqXS0Q0paMSUxZCFwodLbvqprcGcdWIYMGNUgmM1HsFXduDy_8Tyik5XNn-MCYlKnfWN1pzuclZmkg65N5UvATEF4juCzNx9DZmKQn4nznNgnhSDOQKGpV_wWaEp-D9IAQkvDtDp7C-VMQ3CO7JAJOSdZGqGAfg","https://lh3.googleusercontent.com/umsh/AN6v0v6FhShpQDBk_QUWmlvjIzEY_waT41jgVkoTypSgtuzsJ1NiFOVHxoAwaFdKAW7BCvWrwgJYBstZj_eP3rP8vV99NwHvo56WQzBhP1_2Gq1iHYTG0oLEy6yvW6sEiCxjqwTX4xLvECWdlmYCEGfAlFu2PHwPdAtn4r6EURjZdmUrcsePFZzFX1j1B0NS62n40Pbnb1Leuv8pambVp-Q89iNVbCMhQAGCvqsBwBHjzzMEeR4y4oAfKi9UmFuvxx2mZeXsAekywcItM-i-qWs1I_SP1Bz-gRxyNWiiyqwiDuM8YwTN3meiyG75NsBNTJc9ksxpfJb9fIkzphXHdwoKEJ_ZjQL5pePyHtZKpfjRmWJTBTwwviGERSYN85sajYx70eaeqMCFOyOuOJ7VRUfa9O2L838iFCSQrmwDNnM-ZlcoTM31LtWEOCR3SVbTi3UvzORNw5nMRbslC0mntEBpXbNYJHK6culfhmSbZ6oyqMJpKouJqXS0Q0paMSUxZCFwodLbvqprcGcdWIYMGNUgmM1HsFXduDy_8Tyik5XNn-MCYlKnfWN1pzuclZmkg65N5UvATEF4juCzNx9DZmKQn4nznNgnhSDOQKGpV_wWaEp-D9IAQkvDtDp7C-VMQ3CO7JAJOSdZGqGAfg","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00006-01.png"
"akakus","قوس أويص","7","LY-AKAKUS-00007","https://lh3.googleusercontent.com/umsh/AN6v0v4VZ0QXBTHTsyQMNZib2YxoFQErV1BE3IgXuEZehVMHhV86qnpL9mjSjIhiJLQO3IREggfvad5Kkh_eDECKyEAHoCFLse8JMmlaH5bVcoW5ja_-JCCs5Xg9k4TXg7MfaTCU4MMD5DdicEmdBaE9EBIdc7Qg1fL7E5ujnoSviErDeevXIQlyDKvfe5Ky2ItPkUCUvxJ86QpqPyXbWff2WHTYsyv_Alpdi5Vm7rYo-FYYfgD8uE2cwAOTIQ33JX5l4jlBfIaVjsaBoEuUE0Ro-sR7-uU0cnEbt0SXD5krjL572nioQ8Gx6MvMrZS8cKWyycx4hW_saSGo49meJ10h4Ks-ZivtKgHpYDjHR51KVFd6ofl0lx64n2BZbPGlbjRME2waXLjU3bY8NJ28NNZBirwPmfQItD7qqTN6iHHFBGZFda5u0sJL149p4v4X94g7jUQuu_zIC_1T6KpmuxQswCedRYwhVe6Z_CZ7NBbHCl74A7Xu7SIZSxxWyEfEZREdk2IASguUhE127DlKXplLxLN4YROxL3BFwNIxuHBrTtzcvtRLyTyIanT46dfWhd1T9-nPLz5M3x8EXulVX_Z4DU6wV-jkj-S8HrFb5euWGEKMni_We9Tr-G_GFWr3meuG7Q7KSYOgE-ivmw","https://lh3.googleusercontent.com/umsh/AN6v0v4VZ0QXBTHTsyQMNZib2YxoFQErV1BE3IgXuEZehVMHhV86qnpL9mjSjIhiJLQO3IREggfvad5Kkh_eDECKyEAHoCFLse8JMmlaH5bVcoW5ja_-JCCs5Xg9k4TXg7MfaTCU4MMD5DdicEmdBaE9EBIdc7Qg1fL7E5ujnoSviErDeevXIQlyDKvfe5Ky2ItPkUCUvxJ86QpqPyXbWff2WHTYsyv_Alpdi5Vm7rYo-FYYfgD8uE2cwAOTIQ33JX5l4jlBfIaVjsaBoEuUE0Ro-sR7-uU0cnEbt0SXD5krjL572nioQ8Gx6MvMrZS8cKWyycx4hW_saSGo49meJ10h4Ks-ZivtKgHpYDjHR51KVFd6ofl0lx64n2BZbPGlbjRME2waXLjU3bY8NJ28NNZBirwPmfQItD7qqTN6iHHFBGZFda5u0sJL149p4v4X94g7jUQuu_zIC_1T6KpmuxQswCedRYwhVe6Z_CZ7NBbHCl74A7Xu7SIZSxxWyEfEZREdk2IASguUhE127DlKXplLxLN4YROxL3BFwNIxuHBrTtzcvtRLyTyIanT46dfWhd1T9-nPLz5M3x8EXulVX_Z4DU6wV-jkj-S8HrFb5euWGEKMni_We9Tr-G_GFWr3meuG7Q7KSYOgE-ivmw","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00007-01.png"
"akakus","قوس صخري","8","LY-AKAKUS-00008","https://lh3.googleusercontent.com/umsh/AN6v0v5P90Jy-imbz3lhz1IFaHif5qZJu6SuJzCrHrm0qVPOISKPQFtJjB0YoupBv8vqGUKS9QlaUheZAZqMAtPLe6ABoiJdJrT1lkdqxJIu0E2646WzRiqMAxdzKALseV_NiTWCRGDO63oCSmNQv9ODDS_K7_OYNarF0vToCc7vZ0bUvELtbA2Qnu9hFp_l3QvRaP9Y89EPC2_p9YCxPIsaJ5oBMlBj7UXKSUZEnLoFfnOX4wSuCnXxsbKeZHWGvnI4Pc6fH_NiLAHXKyYtED-o1shVh5aHGI3CBA7z3uTPJEokXsxiKU_8weX5QhKAbt9uJQl6kZ9bsga6mRanG3O4soOVOSF9I8dYTuLhDuyR2aJQUiL0ojoHWUhJv8d7GOWG6zIiHu9WW_D2_cgR4rFIsa1LTjgob8HAWbHJaC_mvtpDs_5x1V0XheePi_wELjTB18Lx5Gy8b8SPBw3VvbBSjGg7eGuwbsHZVOyI0ShI03hUhLOu0oEj3zH9fhRHsZQgt-9ch-kdSCvkDyg9WTp4k1PlMVOPELNUQUJZmO-mPoMEzt8JDUq2CiS_rjukEkw8qu0SlniTJ6z8d85VXPUs9whTTOG1BZcwbbRQsCIcizmdULBLc3PqsV0_CkmWNG8lf9h-lMCNebww8A","https://lh3.googleusercontent.com/umsh/AN6v0v5P90Jy-imbz3lhz1IFaHif5qZJu6SuJzCrHrm0qVPOISKPQFtJjB0YoupBv8vqGUKS9QlaUheZAZqMAtPLe6ABoiJdJrT1lkdqxJIu0E2646WzRiqMAxdzKALseV_NiTWCRGDO63oCSmNQv9ODDS_K7_OYNarF0vToCc7vZ0bUvELtbA2Qnu9hFp_l3QvRaP9Y89EPC2_p9YCxPIsaJ5oBMlBj7UXKSUZEnLoFfnOX4wSuCnXxsbKeZHWGvnI4Pc6fH_NiLAHXKyYtED-o1shVh5aHGI3CBA7z3uTPJEokXsxiKU_8weX5QhKAbt9uJQl6kZ9bsga6mRanG3O4soOVOSF9I8dYTuLhDuyR2aJQUiL0ojoHWUhJv8d7GOWG6zIiHu9WW_D2_cgR4rFIsa1LTjgob8HAWbHJaC_mvtpDs_5x1V0XheePi_wELjTB18Lx5Gy8b8SPBw3VvbBSjGg7eGuwbsHZVOyI0ShI03hUhLOu0oEj3zH9fhRHsZQgt-9ch-kdSCvkDyg9WTp4k1PlMVOPELNUQUJZmO-mPoMEzt8JDUq2CiS_rjukEkw8qu0SlniTJ6z8d85VXPUs9whTTOG1BZcwbbRQsCIcizmdULBLc3PqsV0_CkmWNG8lf9h-lMCNebww8A","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00008-01.png"
"akakus","قوس صخري","9","LY-AKAKUS-00009","https://lh3.googleusercontent.com/umsh/AN6v0v49kjaFzCkg9RiRXCpx8X7S2utUnTLNIxS9ky1Y0NScpSZfgLPH7i_roNBUpHpDBma1zVfcKoJ075YO1bHe2kqrlwcivoK6aMVIzAEdyCKIYLhKjlRh28hiBngFA-KErgGgBVfb2xRNO2MLVpmhwxtpuLeeCedh70jobeJlOSNYUnC5bqRib4jwJcRbcsh2WyseXvZJESIgU9_mq8_iOB_csWj6TXfLh9KblCzQaH3w4OLwpxxL7htd60naVckhW8JaokVPZWd9ememsj2fIzEEg77-yvO2YD8vekdBJIf0zFKXYVnMf6VNyEapUgV_R3GhQmSq0pmbxWVHIUwZspxCtfQOISwsIImD6K2UAj_7ahaA0qgg4ScXN-bMVM4lQJbk2oShC9GuqXtcRUu933a2f9t0icPtnrNTr6j3a2Xkv1mLPJxkmr-ZEPbYa5rBjhJAQKWJIoQ7USNGJ4oMpFb1j-GZkkRVPj8_SwaiELqcVzfVSnTb5nqnAyShanYnHkP1UAyE4xtx3PBbfW5vzIw2IBhWh7GoorLYjUkWSlRf83n8-rm3DcPPSkDJSE5fBpjld579hDNmPYR53dwyb9aTrSv4zQb0qD5egjq5xkqNej1gtgsjczOPk9TcXDTXm_CoIikWRYoPnw","https://lh3.googleusercontent.com/umsh/AN6v0v49kjaFzCkg9RiRXCpx8X7S2utUnTLNIxS9ky1Y0NScpSZfgLPH7i_roNBUpHpDBma1zVfcKoJ075YO1bHe2kqrlwcivoK6aMVIzAEdyCKIYLhKjlRh28hiBngFA-KErgGgBVfb2xRNO2MLVpmhwxtpuLeeCedh70jobeJlOSNYUnC5bqRib4jwJcRbcsh2WyseXvZJESIgU9_mq8_iOB_csWj6TXfLh9KblCzQaH3w4OLwpxxL7htd60naVckhW8JaokVPZWd9ememsj2fIzEEg77-yvO2YD8vekdBJIf0zFKXYVnMf6VNyEapUgV_R3GhQmSq0pmbxWVHIUwZspxCtfQOISwsIImD6K2UAj_7ahaA0qgg4ScXN-bMVM4lQJbk2oShC9GuqXtcRUu933a2f9t0icPtnrNTr6j3a2Xkv1mLPJxkmr-ZEPbYa5rBjhJAQKWJIoQ7USNGJ4oMpFb1j-GZkkRVPj8_SwaiELqcVzfVSnTb5nqnAyShanYnHkP1UAyE4xtx3PBbfW5vzIw2IBhWh7GoorLYjUkWSlRf83n8-rm3DcPPSkDJSE5fBpjld579hDNmPYR53dwyb9aTrSv4zQb0qD5egjq5xkqNej1gtgsjczOPk9TcXDTXm_CoIikWRYoPnw","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00009-01.png"
"akakus","قوس صخري","10","LY-AKAKUS-00010","https://lh3.googleusercontent.com/umsh/AN6v0v4FfJOvwwnJgvOkEIdO65WxdZ_2eEetI_55y0UzLECi_jH0jToNMJ-g0D18gvPN83cLEl_A3L-SlDWRcCYPSiUUuR8UTmbMyTbU7Uto-bPxyZhSs-sLNdQC43jl2WV9Ccb0fdSuuSpdzH0wOkL07xzydCdlbRDs50CSykcn2b2y82z5jXw2JBI_ZlLaWvcjgsiLyhpd9fIY19DumCll8VAsrNcgqhqaDHYvRmQT5zVIE9-gC1dYk2ttNst1ZUgJX6YnH_VVPozA52k52kKgURQr0rR1C_vrgyQq3Mjc2xEItBYANWRRnY8etPKs0dHqoFfy-YOqATJz0NNQ0oMy0We8F2vDnDMwoi3CRenJN4-NDOBHvk4eUczvLzLWcWCPGhw_FcUU6lICG3eMPvNDRwGZxOrI4O4wAiN0jw9P36QoT6Tu9KC3x3UzWaJljjU3lgeyler5l7CEk6cWK56j3s1zyJv5fe3RtB9Fnlm8_AwtMjipbzi4UVxFgDYues8gzqeLMGMWt6NsP15zXntceB97i3uLt24H4UfV44gV4fbDG6PE5yU3D2aqpke3-F4uwAM0WJUbc6_rWJ18FJjL-YSflR7jFcuyxEbhqitMeryKe8CbwwXg2mcD32Zppk32x9Tl7nlG_UAAnA","https://lh3.googleusercontent.com/umsh/AN6v0v4FfJOvwwnJgvOkEIdO65WxdZ_2eEetI_55y0UzLECi_jH0jToNMJ-g0D18gvPN83cLEl_A3L-SlDWRcCYPSiUUuR8UTmbMyTbU7Uto-bPxyZhSs-sLNdQC43jl2WV9Ccb0fdSuuSpdzH0wOkL07xzydCdlbRDs50CSykcn2b2y82z5jXw2JBI_ZlLaWvcjgsiLyhpd9fIY19DumCll8VAsrNcgqhqaDHYvRmQT5zVIE9-gC1dYk2ttNst1ZUgJX6YnH_VVPozA52k52kKgURQr0rR1C_vrgyQq3Mjc2xEItBYANWRRnY8etPKs0dHqoFfy-YOqATJz0NNQ0oMy0We8F2vDnDMwoi3CRenJN4-NDOBHvk4eUczvLzLWcWCPGhw_FcUU6lICG3eMPvNDRwGZxOrI4O4wAiN0jw9P36QoT6Tu9KC3x3UzWaJljjU3lgeyler5l7CEk6cWK56j3s1zyJv5fe3RtB9Fnlm8_AwtMjipbzi4UVxFgDYues8gzqeLMGMWt6NsP15zXntceB97i3uLt24H4UfV44gV4fbDG6PE5yU3D2aqpke3-F4uwAM0WJUbc6_rWJ18FJjL-YSflR7jFcuyxEbhqitMeryKe8CbwwXg2mcD32Zppk32x9Tl7nlG_UAAnA","true","200","image/png","89 50 4E 47","pending_browser_validation","recovered","/assets/images/akakus/akakus-LY-AKAKUS-00010-01.png"
